date,invest,profitLoss,customer,availabilityShortage,companyValuation,workCapacity
Week 87,34600,6920,178,false,2868310,38
Week 88,11400,1690,180,true,2881400,50
Week 89,31000,9920,61,false,2922320,23
Week 90,32900,5020,194,true,2960240,44
Week 91,32700,8660,32,false,3001600,44
Week 92,32800,-4580,199,false,3029820,13
Week 93,21000,8470,42,false,3059290,10
Week 94,35100,4800,22,false,3099190,18
Week 95,22800,7900,67,true,3129890,13
Week 96,36300,2550,93,true,3168740,18
Week 97,12200,1920,74,false,3182860,33
Week 98,35900,6190,140,true,3224950,30
Week 99,11300,820,54,false,3237070,41
Week 100,24100,6550,36,true,3267720,22
Week 101,12300,8730,99,false,3288750,27
Week 102,24900,7120,168,false,3320770,28
Week 103,13400,7110,110,true,3341280,42
Week 104,29600,-3840,104,true,3367040,29
Week 105,35300,8070,55,false,3410410,13
Week 106,29300,5660,128,false,3445370,27
Week 107,22700,-9600,89,false,3458470,7
Week 108,15900,-5540,113,true,3468830,20
Week 109,38900,9400,106,false,3517130,48
Week 110,21300,8790,164,true,3547220,28
Week 111,18200,9800,139,false,3575220,26
Week 112,34700,1200,142,true,3611120,9
Week 113,16700,9510,63,true,3637330,49
Week 114,17300,-8010,79,true,3646620,47
Week 115,13700,-9870,90,false,3650450,7
Week 116,37800,-9820,26,false,3678430,34
Week 117,29600,5330,176,false,3713360,16
Week 118,38600,8460,31,true,3760420,29
Week 119,27600,1410,22,true,3789430,37
Week 120,34700,4100,29,true,3828230,36
Week 121,16900,9670,86,true,3854800,17
Week 122,31500,3660,38,false,3889960,11
Week 123,22100,5240,51,false,3917300,39
Week 124,31000,-1480,71,false,3946820,37
Week 125,39000,3290,176,false,3989110,11
Week 126,32700,7290,191,true,4029100,42
Week 127,29800,6650,161,false,4065550,24
Week 128,31200,5470,177,false,4102220,26
Week 129,33900,4090,189,true,4140210,29
Week 130,31200,3500,176,false,4174910,35
Week 131,12500,-1110,88,true,4186300,21
Week 132,10100,6650,86,true,4203050,50
Week 133,15800,8690,65,false,4227540,43
Week 134,27700,-2650,125,false,4252590,13
Week 135,37200,7110,42,false,4296900,19
Week 136,36200,5410,93,true,4338510,31
Week 137,22200,7050,77,true,4367760,43
Week 138,14300,3400,26,true,4385460,12
Week 139,37800,7890,133,false,4431150,7
Week 140,12800,6050,169,false,4450000,16
Week 141,12400,9030,78,false,4471430,32
Week 142,22200,7730,137,false,4501360,29
Week 143,20100,1600,197,false,4523060,8
Week 144,21000,7060,140,false,4551120,26
Week 145,25900,9490,35,false,4586510,36
Week 146,16100,8800,126,false,4611410,43
Week 147,37000,6100,61,false,4654510,18
Week 148,21100,2290,196,false,4677900,13
Week 149,12900,-930,63,false,4689870,40
Week 150,12200,5910,62,true,4707980,27
Week 151,25500,3490,53,false,4736970,39
Week 152,16200,4720,167,true,4757890,48
Week 153,17000,6180,71,true,4781070,17
Week 154,22400,2540,103,false,4806010,15
Week 155,15700,6270,195,false,4827980,16
Week 156,22300,7890,159,true,4858170,13
